Time(s),CPU(%),RAM(MB),Strategy,Proxy_Active,Under_Attack
0.0,3.26,54.8,BASELINE,NO,NO
2.02,2.45,55.2,BASELINE,NO,NO
4.03,2.65,54.75,BASELINE,NO,NO
6.05,2.97,54.85,BASELINE,NO,NO
8.07,1.83,54.81,BASELINE,NO,NO
10.09,2.99,55.03,BASELINE,NO,NO
12.11,2.26,55.3,BASELINE,NO,NO
14.13,2.2,54.46,BASELINE,NO,NO
14.53,2.82,54.87,BASELINE,NO,NO
16.54,2.1,54.52,BASELINE,NO,NO
18.55,2.98,54.87,BASELINE,NO,NO
20.55,1.2,55.21,BASELINE,NO,NO
22.55,1.56,55.1,BASELINE,NO,NO
24.58,2.02,54.43,BASELINE,NO,NO
26.61,3.24,55.27,BASELINE,NO,NO
28.64,2.69,54.63,BASELINE,NO,NO
30.67,69.72,68.23,BASELINE,NO,YES
32.69,64.28,66.63,BASELINE,NO,YES
34.72,50.77,60.47,BASELINE,NO,YES
36.75,70.17,66.49,BASELINE,NO,YES
38.77,66.55,67.59,BASELINE,NO,YES
40.79,62.71,63.29,BASELINE,NO,YES
42.81,74.37,69.01,BASELINE,NO,YES
44.82,52.03,65.75,BASELINE,NO,YES
45.21,79.88,59.7,BASELINE,NO,YES
47.22,82.9,69.31,BASELINE,NO,YES
49.23,73.92,62.23,BASELINE,NO,YES
51.24,50.23,59.74,BASELINE,NO,YES
53.25,63.92,66.1,BASELINE,NO,YES
55.25,81.18,66.4,BASELINE,NO,YES
57.28,58.74,59.06,BASELINE,NO,YES
59.31,75.04,61.8,BASELINE,NO,YES
61.33,80.11,63.77,BASELINE,NO,YES
63.36,68.87,61.11,BASELINE,NO,YES
65.38,68.09,64.68,BASELINE,NO,YES
67.4,59.21,68.57,BASELINE,NO,YES
69.42,60.46,65.25,BASELINE,NO,YES
71.44,71.6,61.75,BASELINE,NO,YES
73.45,75.43,66.4,BASELINE,NO,YES
75.46,3.43,54.49,BASELINE,NO,NO
75.8,1.35,54.52,BASELINE,NO,NO
77.82,2.58,54.97,BASELINE,NO,NO
79.82,1.72,54.79,BASELINE,NO,NO
81.89,1.71,55.27,BASELINE,NO,NO
83.95,3.01,54.79,BASELINE,NO,NO
86.06,1.91,55.02,BASELINE,NO,NO
88.08,1.92,54.82,BASELINE,NO,NO
90.11,1.69,54.83,BASELINE,NO,NO
92.18,1.31,54.43,BASELINE,NO,NO
94.3,1.36,55.21,BASELINE,NO,NO
