Time(s),CPU(%),RAM(MB),Latency(ms),Throughput(Mbps),Packets_Received,Strategy,Proxy_Active,Under_Attack
0.09,3.74,54.55,500.0,0.0,0,BASELINE,NO,NO
2.19,2.24,54.42,500.0,0.0,0,BASELINE,NO,NO
4.28,2.93,55.26,500.0,0.0,0,BASELINE,NO,NO
6.35,1.47,54.56,500.0,0.0,0,BASELINE,NO,NO
8.44,3.0,55.1,500.0,0.0,0,BASELINE,NO,NO
10.52,3.54,54.97,500.0,0.0,0,BASELINE,NO,NO
12.61,1.26,55.16,500.0,0.0,0,BASELINE,NO,NO
12.62,2.49,55.01,500.0,0.0,0,BASELINE,NO,NO
14.71,2.46,54.92,500.0,0.0,0,BASELINE,NO,NO
16.79,2.85,55.27,500.0,0.0,0,BASELINE,NO,NO
18.89,3.11,54.94,500.0,0.0,0,BASELINE,NO,NO
20.96,3.33,54.56,500.0,0.0,0,BASELINE,NO,NO
23.05,3.09,54.67,500.0,0.0,0,BASELINE,NO,NO
25.12,2.13,55.0,500.0,0.0,0,BASELINE,NO,NO
27.21,1.27,54.9,500.0,0.0,0,BASELINE,NO,NO
29.29,1.43,54.62,500.0,0.0,0,BASELINE,NO,NO
31.38,57.77,64.34,500.0,0.0,0,BASELINE,NO,YES
33.45,86.87,65.74,500.0,0.0,0,BASELINE,NO,YES
35.53,83.43,68.82,500.0,0.0,0,BASELINE,NO,YES
37.6,78.84,65.98,500.0,0.0,0,BASELINE,NO,YES
39.68,81.93,62.47,500.0,0.0,0,BASELINE,NO,YES
41.78,65.67,70.17,500.0,0.0,0,BASELINE,NO,YES
41.78,81.25,62.58,500.0,-0.0,0,BASELINE,NO,YES
43.9,64.97,69.06,500.0,0.0,0,BASELINE,NO,YES
46.04,57.82,64.62,500.0,0.0,0,BASELINE,NO,YES
48.13,80.68,62.9,500.0,0.0,0,BASELINE,NO,YES
50.21,72.08,63.94,500.0,0.0,0,BASELINE,NO,YES
52.28,67.65,65.16,500.0,0.0,0,BASELINE,NO,YES
54.36,87.05,72.02,500.0,0.0,0,BASELINE,NO,YES
56.46,70.76,68.02,500.0,0.0,0,BASELINE,NO,YES
58.54,72.71,66.26,500.0,0.0,0,BASELINE,NO,YES
60.62,85.24,66.85,500.0,0.0,0,BASELINE,NO,YES
62.71,79.6,68.98,500.0,0.0,0,BASELINE,NO,YES
64.78,80.19,68.73,500.0,0.0,0,BASELINE,NO,YES
66.86,55.63,66.51,500.0,0.0,0,BASELINE,NO,YES
68.93,82.78,69.79,500.0,0.0,0,BASELINE,NO,YES
71.01,62.04,71.39,500.0,0.0,0,BASELINE,NO,YES
73.08,87.21,67.65,500.0,0.0,0,BASELINE,NO,YES
73.03,59.05,67.28,500.0,-0.0,0,BASELINE,NO,YES
75.1,3.74,54.85,500.0,0.0,0,BASELINE,NO,NO
77.17,1.44,54.77,500.0,0.0,0,BASELINE,NO,NO
79.24,1.26,55.05,500.0,0.0,0,BASELINE,NO,NO
81.32,2.46,55.13,500.0,0.0,0,BASELINE,NO,NO
83.4,1.86,54.52,500.0,0.0,0,BASELINE,NO,NO
85.47,1.68,55.15,500.0,0.0,0,BASELINE,NO,NO
87.55,2.53,55.23,500.0,0.0,0,BASELINE,NO,NO
89.62,1.88,54.43,500.0,0.0,0,BASELINE,NO,NO
91.69,1.34,54.99,500.0,0.0,0,BASELINE,NO,NO
93.77,1.38,54.67,500.0,0.0,0,BASELINE,NO,NO
95.85,3.3,54.62,500.0,0.0,0,BASELINE,NO,NO
