Time(s),CPU(%),RAM(MB),Strategy,Proxy_Active,Under_Attack
0.0,5.04,64.04,MYCO_BOX,NO,NO
0.26,3.04,62.73,MYCO_BOX,NO,NO
2.27,4.65,63.86,MYCO_BOX,NO,NO
4.28,3.13,63.3,MYCO_BOX,NO,NO
6.39,5.16,62.75,MYCO_BOX,NO,NO
8.51,2.97,62.36,MYCO_BOX,NO,NO
10.62,3.23,62.15,MYCO_BOX,NO,NO
12.63,4.74,62.25,MYCO_BOX,NO,NO
14.75,4.57,63.13,MYCO_BOX,NO,NO
16.76,4.44,64.09,MYCO_BOX,NO,NO
18.88,2.91,62.9,MYCO_BOX,NO,NO
20.9,3.37,62.3,MYCO_BOX,NO,NO
22.92,3.27,63.2,MYCO_BOX,NO,NO
24.93,3.08,63.28,MYCO_BOX,NO,NO
26.94,4.15,62.22,MYCO_BOX,NO,NO
28.95,3.58,63.19,MYCO_BOX,NO,NO
30.96,5.09,68.77,MYCO_BOX,YES,YES
31.22,4.3,67.92,MYCO_BOX,YES,YES
33.24,5.57,67.03,MYCO_BOX,YES,YES
35.27,5.65,66.27,MYCO_BOX,YES,YES
37.38,4.6,69.05,MYCO_BOX,YES,YES
39.42,6.49,68.62,MYCO_BOX,YES,YES
41.54,3.68,68.06,MYCO_BOX,YES,YES
43.58,4.86,66.71,MYCO_BOX,YES,YES
45.7,3.97,68.25,MYCO_BOX,YES,YES
47.75,5.98,67.27,MYCO_BOX,YES,YES
49.87,7.07,65.95,MYCO_BOX,YES,YES
51.94,4.79,67.63,MYCO_BOX,YES,YES
54.03,5.83,66.46,MYCO_BOX,YES,YES
56.04,7.64,66.32,MYCO_BOX,YES,YES
58.05,5.59,66.01,MYCO_BOX,YES,YES
60.08,4.26,66.95,MYCO_BOX,YES,YES
62.1,3.58,68.29,MYCO_BOX,YES,YES
62.33,3.65,66.54,MYCO_BOX,YES,YES
64.34,3.68,67.71,MYCO_BOX,YES,YES
66.36,5.93,69.12,MYCO_BOX,YES,YES
68.38,5.81,65.85,MYCO_BOX,YES,YES
70.4,3.67,67.36,MYCO_BOX,YES,YES
72.4,7.69,66.72,MYCO_BOX,YES,YES
74.43,7.55,68.43,MYCO_BOX,YES,YES
76.46,5.14,62.98,MYCO_BOX,NO,NO
78.47,4.53,63.91,MYCO_BOX,NO,NO
80.48,3.51,64.48,MYCO_BOX,NO,NO
82.51,3.29,63.02,MYCO_BOX,NO,NO
84.54,4.41,64.25,MYCO_BOX,NO,NO
86.56,4.73,62.55,MYCO_BOX,NO,NO
88.56,4.28,63.65,MYCO_BOX,NO,NO
90.6,3.34,63.17,MYCO_BOX,NO,NO
92.71,3.01,64.28,MYCO_BOX,NO,NO
92.99,4.84,62.54,MYCO_BOX,NO,NO
