Time,CPU(%),RAM(MB),Latency,Throughput,Nodes,Strategy,Under_Attack
0.06,4.9,67.22,500.0,0.0,30,MYCO_BOX,NO
2.12,5.18,67.12,500.0,0.0,30,MYCO_BOX,NO
4.19,5.04,67.43,500.0,0.0,30,MYCO_BOX,NO
6.26,4.99,67.22,500.0,0.0,30,MYCO_BOX,NO
8.33,5.02,67.54,500.0,0.0,30,MYCO_BOX,NO
10.39,5.11,67.66,500.0,0.0,30,MYCO_BOX,NO
12.45,5.19,67.6,500.0,0.0,30,MYCO_BOX,NO
14.52,5.08,67.2,500.0,0.0,30,MYCO_BOX,NO
16.59,5.06,67.27,500.0,0.0,30,MYCO_BOX,NO
18.67,5.14,67.24,500.0,0.0,30,MYCO_BOX,NO
20.74,4.87,67.39,500.0,0.0,30,MYCO_BOX,NO
22.81,5.01,67.15,500.0,0.0,30,MYCO_BOX,NO
24.88,5.13,67.22,500.0,0.0,30,MYCO_BOX,NO
26.95,4.99,67.48,500.0,0.0,30,MYCO_BOX,NO
29.02,4.96,67.38,500.0,0.0,30,MYCO_BOX,NO
31.09,7.82,73.32,500.0,0.0,30,MYCO_BOX,YES
33.16,7.73,73.09,500.0,0.0,30,MYCO_BOX,YES
35.23,8.09,73.18,500.0,0.0,30,MYCO_BOX,YES
37.31,7.73,72.93,500.0,0.0,30,MYCO_BOX,YES
39.38,8.01,73.08,500.0,0.0,30,MYCO_BOX,YES
41.45,7.67,73.0,500.0,0.0,30,MYCO_BOX,YES
43.51,8.09,73.49,500.0,0.0,30,MYCO_BOX,YES
45.59,7.89,73.48,500.0,0.0,30,MYCO_BOX,YES
47.66,8.08,72.87,500.0,0.0,30,MYCO_BOX,YES
49.73,7.9,72.99,500.0,0.0,30,MYCO_BOX,YES
51.8,8.09,72.96,500.0,0.0,30,MYCO_BOX,YES
53.87,7.95,73.28,500.0,0.0,30,MYCO_BOX,YES
55.94,7.76,73.15,500.0,0.0,30,MYCO_BOX,YES
58.01,7.67,72.9,500.0,0.0,30,MYCO_BOX,YES
60.08,7.7,72.94,500.0,0.0,30,MYCO_BOX,YES
62.15,7.88,73.17,500.0,0.0,30,MYCO_BOX,YES
64.22,8.03,73.33,500.0,0.0,30,MYCO_BOX,YES
66.29,7.88,73.43,500.0,0.0,30,MYCO_BOX,YES
68.36,8.04,72.95,500.0,0.0,30,MYCO_BOX,YES
70.43,7.94,73.31,500.0,0.0,30,MYCO_BOX,YES
72.5,7.73,73.44,500.0,0.0,30,MYCO_BOX,YES
74.57,7.89,73.32,500.0,0.0,30,MYCO_BOX,YES
76.65,4.99,67.65,500.0,0.0,30,MYCO_BOX,NO
78.72,4.87,67.15,500.0,0.0,30,MYCO_BOX,NO
80.79,5.09,67.23,500.0,0.0,30,MYCO_BOX,NO
82.86,4.98,67.41,500.0,0.0,30,MYCO_BOX,NO
84.92,4.88,67.48,500.0,0.0,30,MYCO_BOX,NO
87.0,5.17,67.55,500.0,0.0,30,MYCO_BOX,NO
89.07,4.86,67.21,500.0,0.0,30,MYCO_BOX,NO
91.14,4.92,67.46,500.0,0.0,30,MYCO_BOX,NO
93.21,5.05,67.53,500.0,0.0,30,MYCO_BOX,NO
95.27,5.13,67.16,500.0,0.0,30,MYCO_BOX,NO
97.34,4.93,67.5,500.0,0.0,30,MYCO_BOX,NO
99.41,4.96,67.35,500.0,0.0,30,MYCO_BOX,NO
101.48,4.93,67.49,500.0,0.0,30,MYCO_BOX,NO
