Time,CPU(%),RAM(MB),Latency,Throughput,Nodes,Strategy,Under_Attack
0.06,9.13,77.78,500.0,0.0,50,MYCO_SCOUT,NO
2.12,8.97,77.19,500.0,0.0,50,MYCO_SCOUT,NO
4.19,9.08,77.76,500.0,0.0,50,MYCO_SCOUT,NO
6.26,9.02,77.15,500.0,0.0,50,MYCO_SCOUT,NO
8.33,8.88,77.51,500.0,0.0,50,MYCO_SCOUT,NO
10.41,9.01,77.57,500.0,0.0,50,MYCO_SCOUT,NO
12.48,9.09,77.34,500.0,0.0,50,MYCO_SCOUT,NO
14.55,9.13,77.35,500.0,0.0,50,MYCO_SCOUT,NO
16.61,8.84,76.99,500.0,0.0,50,MYCO_SCOUT,NO
18.69,8.92,77.13,500.0,0.0,50,MYCO_SCOUT,NO
20.76,9.18,78.04,500.0,0.0,50,MYCO_SCOUT,NO
22.83,8.75,77.26,500.0,0.0,50,MYCO_SCOUT,NO
24.9,9.17,77.14,500.0,0.0,50,MYCO_SCOUT,NO
26.97,9.09,77.07,500.0,0.0,50,MYCO_SCOUT,NO
29.04,9.11,77.46,500.0,0.0,50,MYCO_SCOUT,NO
31.11,13.32,85.67,500.0,0.0,50,MYCO_SCOUT,YES
33.18,13.32,85.71,500.0,0.0,50,MYCO_SCOUT,YES
35.26,12.95,85.49,500.0,0.0,50,MYCO_SCOUT,YES
37.33,12.92,85.86,500.0,0.0,50,MYCO_SCOUT,YES
39.4,12.95,85.06,500.0,0.0,50,MYCO_SCOUT,YES
41.47,12.76,85.8,500.0,0.0,50,MYCO_SCOUT,YES
43.54,12.7,85.1,500.0,0.0,50,MYCO_SCOUT,YES
45.61,13.4,85.25,500.0,0.0,50,MYCO_SCOUT,YES
47.68,12.8,85.7,500.0,0.0,50,MYCO_SCOUT,YES
49.75,13.18,85.55,500.0,0.0,50,MYCO_SCOUT,YES
51.82,13.5,85.13,500.0,0.0,50,MYCO_SCOUT,YES
53.89,12.84,85.95,500.0,0.0,50,MYCO_SCOUT,YES
55.97,12.51,85.84,500.0,0.0,50,MYCO_SCOUT,YES
58.03,13.25,85.36,500.0,0.0,50,MYCO_SCOUT,YES
60.1,12.81,85.68,500.0,0.0,50,MYCO_SCOUT,YES
62.17,12.72,85.56,500.0,0.0,50,MYCO_SCOUT,YES
64.24,13.47,85.02,500.0,0.0,50,MYCO_SCOUT,YES
66.31,13.0,85.32,500.0,0.0,50,MYCO_SCOUT,YES
68.38,12.8,85.51,500.0,0.0,50,MYCO_SCOUT,YES
70.45,12.96,85.62,500.0,0.0,50,MYCO_SCOUT,YES
72.52,13.24,85.1,500.0,0.0,50,MYCO_SCOUT,YES
74.59,13.13,85.93,500.0,0.0,50,MYCO_SCOUT,YES
76.66,9.08,77.23,500.0,0.0,50,MYCO_SCOUT,NO
78.73,8.84,77.95,500.0,0.0,50,MYCO_SCOUT,NO
80.8,9.1,77.23,500.0,0.0,50,MYCO_SCOUT,NO
82.87,8.77,77.36,500.0,0.0,50,MYCO_SCOUT,NO
84.94,9.0,77.37,500.0,0.0,50,MYCO_SCOUT,NO
87.01,9.17,77.69,500.0,0.0,50,MYCO_SCOUT,NO
89.08,8.92,76.9,500.0,0.0,50,MYCO_SCOUT,NO
91.15,8.73,76.94,500.0,0.0,50,MYCO_SCOUT,NO
93.22,9.23,77.97,500.0,0.0,50,MYCO_SCOUT,NO
95.3,9.15,77.24,500.0,0.0,50,MYCO_SCOUT,NO
97.37,8.79,77.95,500.0,0.0,50,MYCO_SCOUT,NO
99.44,8.7,77.13,500.0,0.0,50,MYCO_SCOUT,NO
101.51,8.87,77.53,500.0,0.0,50,MYCO_SCOUT,NO
