Time(s),CPU(%),RAM(MB),Latency(ms),Throughput(Mbps),Packets_Received,Strategy,Proxy_Active,Under_Attack
0.06,3.76,55.25,500.0,0.0,0,MYCO_SCOUT,NO,NO
2.12,3.62,55.57,500.0,0.0,0,MYCO_SCOUT,NO,NO
4.2,2.62,55.75,500.0,0.0,0,MYCO_SCOUT,NO,NO
6.27,3.14,55.77,500.0,0.0,0,MYCO_SCOUT,NO,NO
8.34,3.78,55.4,500.0,0.0,0,MYCO_SCOUT,NO,NO
10.41,4.18,55.68,500.0,0.0,0,MYCO_SCOUT,NO,NO
12.49,2.51,56.05,500.0,0.0,0,MYCO_SCOUT,NO,NO
14.56,3.73,56.02,500.0,0.0,0,MYCO_SCOUT,NO,NO
16.63,4.15,55.98,500.0,0.0,0,MYCO_SCOUT,NO,NO
18.71,2.99,56.03,500.0,0.0,0,MYCO_SCOUT,NO,NO
20.78,3.43,55.72,500.0,0.0,0,MYCO_SCOUT,NO,NO
22.85,4.2,55.28,500.0,0.0,0,MYCO_SCOUT,NO,NO
24.93,3.27,55.47,500.0,0.0,0,MYCO_SCOUT,NO,NO
27.0,3.71,55.68,500.0,0.0,0,MYCO_SCOUT,NO,NO
29.07,2.81,55.31,500.0,0.0,0,MYCO_SCOUT,NO,NO
31.15,14.44,59.06,500.0,0.0,0,MYCO_SCOUT,YES,YES
33.22,18.08,58.72,500.0,0.0,0,MYCO_SCOUT,YES,YES
35.29,19.56,57.2,500.0,0.0,0,MYCO_SCOUT,YES,YES
37.36,17.86,59.29,500.0,0.0,0,MYCO_SCOUT,YES,YES
39.44,14.46,57.57,500.0,0.0,0,MYCO_SCOUT,YES,YES
41.51,19.02,57.36,500.0,0.0,0,MYCO_SCOUT,YES,YES
43.58,15.34,59.15,500.0,0.0,0,MYCO_SCOUT,YES,YES
45.65,15.19,57.68,500.0,0.0,0,MYCO_SCOUT,YES,YES
47.73,18.04,58.83,500.0,0.0,0,MYCO_SCOUT,YES,YES
49.8,16.05,58.57,500.0,0.0,0,MYCO_SCOUT,YES,YES
51.87,18.3,57.89,500.0,0.0,0,MYCO_SCOUT,YES,YES
53.95,18.78,59.16,500.0,0.0,0,MYCO_SCOUT,YES,YES
56.02,18.1,57.24,500.0,0.0,0,MYCO_SCOUT,YES,YES
58.09,14.66,59.46,500.0,0.0,0,MYCO_SCOUT,YES,YES
60.17,14.63,57.26,500.0,0.0,0,MYCO_SCOUT,YES,YES
62.24,16.81,59.41,500.0,0.0,0,MYCO_SCOUT,YES,YES
64.31,18.62,58.22,500.0,0.0,0,MYCO_SCOUT,YES,YES
66.39,15.55,59.21,500.0,0.0,0,MYCO_SCOUT,YES,YES
68.46,18.31,58.78,500.0,0.0,0,MYCO_SCOUT,YES,YES
70.52,19.71,58.18,500.0,0.0,0,MYCO_SCOUT,YES,YES
72.59,14.05,58.3,500.0,0.0,0,MYCO_SCOUT,YES,YES
74.65,19.19,58.31,500.0,0.0,0,MYCO_SCOUT,YES,YES
76.72,4.09,55.28,500.0,0.0,0,MYCO_SCOUT,NO,NO
78.79,2.84,55.83,500.0,0.0,0,MYCO_SCOUT,NO,NO
80.86,3.95,55.79,500.0,0.0,0,MYCO_SCOUT,NO,NO
82.93,4.26,55.52,500.0,0.0,0,MYCO_SCOUT,NO,NO
84.99,3.44,55.52,500.0,0.0,0,MYCO_SCOUT,NO,NO
87.06,2.87,55.99,500.0,0.0,0,MYCO_SCOUT,NO,NO
89.12,2.67,55.64,500.0,0.0,0,MYCO_SCOUT,NO,NO
91.19,3.5,55.29,500.0,0.0,0,MYCO_SCOUT,NO,NO
93.25,2.58,55.93,500.0,0.0,0,MYCO_SCOUT,NO,NO
95.32,4.28,56.04,500.0,0.0,0,MYCO_SCOUT,NO,NO
97.39,3.02,56.06,500.0,0.0,0,MYCO_SCOUT,NO,NO
99.45,4.45,55.28,500.0,0.0,0,MYCO_SCOUT,NO,NO
101.52,4.18,55.7,500.0,0.0,0,MYCO_SCOUT,NO,NO
