Time(s),CPU(%),RAM(MB),Latency(ms),Throughput(Mbps),Packets_Received,Strategy,Proxy_Active,Under_Attack
0.07,2.76,57.76,500.0,0.0,0,MYCO_SWAP,NO,NO
2.14,2.19,57.52,500.0,0.0,0,MYCO_SWAP,NO,NO
4.22,2.73,57.42,500.0,0.0,0,MYCO_SWAP,NO,NO
6.3,2.21,56.28,500.0,0.0,0,MYCO_SWAP,NO,NO
8.38,3.45,56.28,500.0,0.0,0,MYCO_SWAP,NO,NO
10.46,3.13,56.23,500.0,0.0,0,MYCO_SWAP,NO,NO
10.47,2.8,58.07,500.0,0.0,0,MYCO_SWAP,NO,NO
12.56,2.46,56.46,500.0,0.0,0,MYCO_SWAP,NO,NO
14.64,2.13,58.07,500.0,0.0,0,MYCO_SWAP,NO,NO
16.73,1.92,57.64,500.0,0.0,0,MYCO_SWAP,NO,NO
18.82,2.5,57.38,500.0,0.0,0,MYCO_SWAP,NO,NO
20.9,2.56,56.63,500.0,0.0,0,MYCO_SWAP,NO,NO
23.0,3.32,57.2,500.0,0.0,0,MYCO_SWAP,NO,NO
25.11,2.77,57.77,500.0,0.0,0,MYCO_SWAP,NO,NO
27.19,2.62,56.63,500.0,0.0,0,MYCO_SWAP,NO,NO
29.27,2.66,57.79,500.0,0.0,0,MYCO_SWAP,NO,NO
31.41,37.82,62.96,500.0,0.0,0,MYCO_SWAP,YES,YES
33.49,30.3,63.45,500.0,0.0,0,MYCO_SWAP,YES,YES
35.57,36.68,62.79,500.0,0.0,0,MYCO_SWAP,YES,YES
37.65,29.32,61.55,500.0,0.0,0,MYCO_SWAP,YES,YES
39.73,8.42,63.06,500.0,0.0,0,MYCO_SWAP,YES,YES
41.81,7.37,63.89,500.0,0.0,0,MYCO_SWAP,YES,YES
41.72,9.64,61.69,500.0,-0.0,0,MYCO_SWAP,YES,YES
43.81,10.86,62.47,500.0,0.0,0,MYCO_SWAP,YES,YES
45.89,9.36,61.63,500.0,0.0,0,MYCO_SWAP,YES,YES
47.97,8.29,61.58,500.0,0.0,0,MYCO_SWAP,YES,YES
50.05,9.88,63.26,500.0,0.0,0,MYCO_SWAP,YES,YES
52.2,9.27,63.14,500.0,0.0,0,MYCO_SWAP,YES,YES
54.28,7.25,63.5,500.0,0.0,0,MYCO_SWAP,YES,YES
56.43,7.32,63.77,500.0,0.0,0,MYCO_SWAP,YES,YES
58.52,8.43,61.76,500.0,0.0,0,MYCO_SWAP,YES,YES
60.6,8.17,64.17,500.0,0.0,0,MYCO_SWAP,YES,YES
62.67,6.96,63.95,500.0,0.0,0,MYCO_SWAP,YES,YES
64.79,8.32,62.09,500.0,0.0,0,MYCO_SWAP,YES,YES
66.92,9.37,62.28,500.0,0.0,0,MYCO_SWAP,YES,YES
69.05,9.77,63.79,500.0,0.0,0,MYCO_SWAP,YES,YES
71.14,7.63,64.47,500.0,0.0,0,MYCO_SWAP,YES,YES
71.14,6.91,64.48,500.0,-0.0,0,MYCO_SWAP,YES,YES
73.22,10.06,63.21,500.0,0.0,0,MYCO_SWAP,YES,YES
75.3,2.06,56.32,500.0,0.0,0,MYCO_SWAP,NO,NO
77.4,2.03,56.95,500.0,0.0,0,MYCO_SWAP,NO,NO
79.48,3.48,57.93,500.0,0.0,0,MYCO_SWAP,NO,NO
81.55,3.48,56.62,500.0,0.0,0,MYCO_SWAP,NO,NO
83.63,2.33,56.77,500.0,0.0,0,MYCO_SWAP,NO,NO
85.72,2.34,56.23,500.0,0.0,0,MYCO_SWAP,NO,NO
87.81,3.4,57.25,500.0,0.0,0,MYCO_SWAP,NO,NO
89.91,3.25,57.58,500.0,0.0,0,MYCO_SWAP,NO,NO
92.01,2.55,57.93,500.0,0.0,0,MYCO_SWAP,NO,NO
94.09,2.01,58.0,500.0,0.0,0,MYCO_SWAP,NO,NO
96.18,2.25,57.48,500.0,0.0,0,MYCO_SWAP,NO,NO
