loading app ryu_uni_controller.py
loading app ryu.controller.ofp_handler
instantiating app ryu_uni_controller.py of MycoUniversalController
instantiating app ryu.controller.ofp_handler of OFPHandler
Time(s), CPU(%), RAM(MB), Strategy, Proxy_Active, Under_Attack
Successfully patched eventlet.wsgi.ALREADY_HANDLED
2.01, 0.0, 54.63, SWAP, NO, NO
4.04, 0.0, 54.63, SWAP, NO, NO
6.06, 0.0, 54.63, SWAP, NO, NO
8.11, 0.0, 54.63, SWAP, NO, NO
10.15, 0.5, 54.63, SWAP, NO, NO
12.18, 0.5, 54.63, SWAP, NO, NO
11.29, 0.0, 54.63, SWAP, NO, NO
13.30, 0.0, 54.63, SWAP, NO, NO
15.33, 0.0, 54.63, SWAP, NO, NO
17.36, 0.0, 54.63, SWAP, NO, NO
19.39, 0.0, 54.75, SWAP, NO, NO
21.40, 0.0, 54.75, SWAP, NO, NO
23.46, 0.0, 54.75, SWAP, NO, NO
25.50, 0.0, 54.75, SWAP, NO, NO
27.53, 0.0, 54.75, SWAP, NO, NO
29.55, 0.0, 54.75, SWAP, NO, NO
31.55, 0.0, 54.75, SWAP, NO, NO
33.56, 0.5, 54.75, SWAP, NO, NO
35.59, 0.0, 54.75, SWAP, NO, NO
37.61, 0.0, 54.75, SWAP, NO, NO
39.62, 0.0, 54.75, SWAP, NO, NO
41.62, 0.0, 54.75, SWAP, NO, NO
43.64, 0.0, 54.75, SWAP, NO, NO
42.64, 0.5, 54.75, SWAP, NO, NO
44.66, 0.0, 54.75, SWAP, NO, NO
46.67, 0.0, 54.75, SWAP, NO, NO
48.72, 0.0, 54.75, SWAP, NO, NO
50.76, 0.0, 54.75, SWAP, NO, NO
52.78, 0.0, 54.75, SWAP, NO, NO
54.79, 0.0, 54.75, SWAP, NO, NO
56.83, 0.0, 54.75, SWAP, NO, NO
58.87, 0.5, 54.75, SWAP, NO, NO
60.88, 0.0, 54.75, SWAP, NO, NO
62.94, 0.0, 54.75, SWAP, NO, NO
65.02, 0.0, 54.75, SWAP, NO, NO
67.08, 0.5, 54.75, SWAP, NO, NO
69.09, 0.0, 54.75, SWAP, NO, NO
71.10, 0.0, 54.75, SWAP, NO, NO
73.10, 0.0, 54.75, SWAP, NO, NO
72.19, 0.0, 54.75, SWAP, NO, NO
74.22, 0.0, 54.75, SWAP, NO, NO
76.26, 0.5, 54.75, SWAP, NO, NO
