Time(s),CPU(%),RAM(MB),Strategy,Proxy_Active,Under_Attack
0.0,2.96,57.94,MYCO_SWAP,NO,NO
2.0,3.54,57.59,MYCO_SWAP,NO,NO
4.01,1.76,57.9,MYCO_SWAP,NO,NO
6.02,3.67,57.62,MYCO_SWAP,NO,NO
8.06,3.14,56.92,MYCO_SWAP,NO,NO
10.09,1.76,57.25,MYCO_SWAP,NO,NO
12.11,2.02,58.18,MYCO_SWAP,NO,NO
14.14,3.76,56.88,MYCO_SWAP,NO,NO
16.16,2.21,57.96,MYCO_SWAP,NO,NO
18.19,3.62,56.87,MYCO_SWAP,NO,NO
20.2,2.88,56.73,MYCO_SWAP,NO,NO
22.22,3.55,57.34,MYCO_SWAP,NO,NO
24.23,2.27,56.51,MYCO_SWAP,NO,NO
26.25,2.88,57.23,MYCO_SWAP,NO,NO
26.4,3.02,57.53,MYCO_SWAP,NO,NO
28.44,2.42,56.86,MYCO_SWAP,NO,NO
30.48,30.92,62.3,MYCO_SWAP,YES,YES
32.49,29.03,60.07,MYCO_SWAP,YES,YES
34.5,31.58,62.79,MYCO_SWAP,YES,YES
36.5,9.2,62.0,MYCO_SWAP,YES,YES
38.51,6.52,63.86,MYCO_SWAP,YES,YES
40.51,6.41,61.03,MYCO_SWAP,YES,YES
42.52,5.58,61.25,MYCO_SWAP,YES,YES
44.55,7.73,61.2,MYCO_SWAP,YES,YES
46.57,8.36,61.87,MYCO_SWAP,YES,YES
48.58,7.46,63.42,MYCO_SWAP,YES,YES
50.58,8.05,62.36,MYCO_SWAP,YES,YES
52.6,7.14,61.68,MYCO_SWAP,YES,YES
54.61,6.2,63.94,MYCO_SWAP,YES,YES
56.62,9.07,62.9,MYCO_SWAP,YES,YES
56.72,7.66,61.12,MYCO_SWAP,YES,YES
58.75,7.18,63.49,MYCO_SWAP,YES,YES
60.78,8.97,62.27,MYCO_SWAP,YES,YES
62.8,8.29,62.97,MYCO_SWAP,YES,YES
64.83,8.77,61.94,MYCO_SWAP,YES,YES
66.85,6.34,63.47,MYCO_SWAP,YES,YES
68.86,8.12,62.14,MYCO_SWAP,YES,YES
70.87,6.42,61.33,MYCO_SWAP,YES,YES
72.87,6.58,61.63,MYCO_SWAP,YES,YES
74.9,6.16,63.85,MYCO_SWAP,YES,YES
76.93,1.53,57.91,MYCO_SWAP,NO,NO
78.96,3.74,57.97,MYCO_SWAP,NO,NO
80.98,3.54,56.96,MYCO_SWAP,NO,NO
82.99,3.43,58.16,MYCO_SWAP,NO,NO
85.01,3.72,57.14,MYCO_SWAP,NO,NO
87.02,2.2,57.13,MYCO_SWAP,NO,NO
87.15,1.76,57.7,MYCO_SWAP,NO,NO
89.15,3.42,56.55,MYCO_SWAP,NO,NO
91.17,2.65,57.11,MYCO_SWAP,NO,NO
93.2,2.74,57.45,MYCO_SWAP,NO,NO
